"rank","name","usps","pop2021","pop2010","growth","density","aland_sqmi"
"99","Richmond","VA","232866","204302","0.1398","3886","59.9230"
"100","Hialeah","FL","230135","225470","0.0207","10664","21.5810"
"101","Boise","ID","229993","209576","0.0974","2749","83.6740"
"102","Spokane","WA","227579","209525","0.0862","3310","68.7590"
"103","Frisco","TX","224566","118201","0.8999","3296","68.1250"
"104","Moreno Valley","CA","221387","194240","0.1398","4319","51.2570"
"105","Tacoma","WA","221259","198230","0.1162","4447","49.7590"
"106","Fontana","CA","217237","197317","0.1010","5044","43.0720"
"107","Modesto","CA","216810","203301","0.0664","5045","42.9770"
"108","Baton Rouge","LA","216328","229374","-0.0569","2502","86.4490"
"109","Port St. Lucie","FL","215922","164848","0.3098","1811","119.2020"
"110","San Bernardino","CA","214706","210637","0.0193","3457","62.1080"
"111","McKinney","TX","214035","132934","0.6101","3197","66.9400"
"112","Fayetteville","NC","213475","208337","0.0247","1444","147.8470"
"113","Santa Clarita","CA","211839","208822","0.0144","2994","70.7550"
"114","Des Moines","IA","210723","205032","0.0278","2390","88.1800"
"115","Oxnard","CA","208101","198539","0.0482","7845","26.5280"
"116","Birmingham","AL","207235","212328","-0.0240","1419","146.0760"
"117","Spring Valley","NV","207127","178395","0.1611","6229","33.2530"
"118","Huntsville","AL","205472","180941","0.1356","959","214.3630"
"119","Rochester","NY","205077","210217","-0.0245","5734","35.7660"
"120","Cape Coral","FL","204549","154731","0.3220","1931","105.9480"
"121","Tempe","AZ","203923","162323","0.2563","5101","39.9770"
"122","Grand Rapids","MI","202767","188007","0.0785","4530","44.7560"
"123","Yonkers","NY","201344","196407","0.0251","11178","18.0120"
"124","Overland Park","KS","201034","174040","0.1551","2674","75.1800"
"125","Salt Lake City","UT","200831","186643","0.0760","1814","110.6980"
"126","Amarillo","TX","199747","191249","0.0444","1963","101.7440"
"127","Augusta","GA","199614","196375","0.0165","660","302.2740"
"128","Columbus","GA","198969","191101","0.0412","919","216.4790"
"129","Tallahassee","FL","197974","181438","0.0911","1970","100.4740"
"130","Montgomery","AL","197777","205593","-0.0380","1237","159.8820"
"131","Huntington Beach","CA","197417","191296","0.0320","7311","27.0030"
"132","Akron","OH","197023","199081","-0.0103","3181","61.9330"
"133","Little Rock","AR","196968","193972","0.0154","1642","119.9920"
"134","Glendale","CA","196533","191720","0.0251","6450","30.4710"
"135","Grand Prairie","TX","195651","175974","0.1118","2708","72.2550"
"136","Aurora","IL","194873","198207","-0.0168","4330","45.0090"
"137","Sunrise Manor","NV","193781","189372","0.0233","5806","33.3760"
"138","Ontario","CA","193594","164377","0.1777","3875","49.9630"
"139","Sioux Falls","SD","190583","154533","0.2333","2436","78.2290"
"140","Knoxville","TN","188085","178258","0.0551","1905","98.7130"
"141","Vancouver","WA","187615","167595","0.1195","3849","48.7440"
"142","Mobile","AL","186542","194577","-0.0413","1338","139.4650"
"143","Worcester","MA","185174","181759","0.0188","4956","37.3600"
"144","Chattanooga","TN","184561","170574","0.0820","1291","142.9630"
"145","Brownsville","TX","183677","175362","0.0474","1388","132.3220"
"146","Peoria","AZ","183357","154846","0.1841","1042","175.9890"
"147","Fort Lauderdale","FL","183109","166126","0.1022","5294","34.5860"
"148","Shreveport","LA","182616","201437","-0.0934","1701","107.3610"
"149","Newport News","VA","180629","180888","-0.0014","2618","68.9920"
"150","Providence","RI","180609","178029","0.0145","9813","18.4060"
"151","Elk Grove","CA","179119","153375","0.1679","4261","42.0330"
"152","Rancho Cucamonga","CA","178119","166226","0.0715","4440","40.1170"
"153","Salem","OR","177803","155247","0.1453","3652","48.6910"
"154","Pembroke Pines","FL","176823","155265","0.1388","5412","32.6730"
"155","Santa Rosa","CA","176759","175238","0.0087","4157","42.5190"
"156","Eugene","OR","176464","156527","0.1274","3998","44.1380"
"157","Oceanside","CA","175710","168079","0.0454","4259","41.2560"
"158","Cary","NC","174762","137086","0.2748","2976","58.7250"
"159","Fort Collins","CO","174081","145268","0.1983","3044","57.1820"
"160","Corona","CA","172652","153052","0.1281","4318","39.9860"
"161","Enterprise","NV","171108","108481","0.5773","3347","51.1290"
"162","Garden Grove","CA","170542","171181","-0.0037","9497","17.9570"
"163","Springfield","MO","168568","159376","0.0577","2046","82.3920"
"164","Clarksville","TN","161686","133486","0.2113","1637","98.7960"
"165","Bayamon","PR","161034","185996","-0.1342","5969","26.9780"
"166","Lakewood","CO","160441","142759","0.1239","3727","43.0470"
"167","Alexandria","VA","160146","140729","0.1380","10724","14.9340"
"168","Hayward","CA","158089","144835","0.0915","3472","45.5370"
"169","Murfreesboro","TN","157816","109572","0.4403","2557","61.7090"
"170","Killeen","TX","157632","129024","0.2217","2890","54.5450"
"171","Hollywood","FL","155689","141013","0.1041","5709","27.2690"
"172","Lancaster","CA","155559","156824","-0.0081","1650","94.2810"
"173","Salinas","CA","155101","150887","0.0279","6620","23.4280"
"174","Jackson","MS","154340","173698","-0.1114","1389","111.0860"
"175","Midland","TX","153768","111276","0.3819","2067","74.3830"
"176","Macon County","GA","153671","155814","-0.0138","616","249.3980"
"177","Kansas City","KS","152950","145878","0.0485","1225","124.8150"
"178","Palmdale","CA","152921","152936","-0.0001","1442","106.0760"
"179","Sunnyvale","CA","152495","140462","0.0857","6922","22.0300"
